City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,mattawa,US,55.92,clear sky,46.7379,-119.9028,Sun & Sand Mobile Home Park
72,tuyen quang,VN,61.99,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
74,beloha,MG,76.26,clear sky,-25.1667,45.05,
76,black river,JM,84.2,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
77,port moresby,PG,74.62,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
79,puerto ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
81,mwinilunga,ZM,63.37,moderate rain,-11.7358,24.4293,Kwakuwahi Lodge
84,chimbote,PE,75.25,overcast clouds,-9.0853,-78.5783,Hotel Briliá
86,talcahuano,CL,73.08,clear sky,-36.7167,-73.1167,departamento comodo
90,gidole,ET,68.23,broken clouds,5.65,37.3667,Shallom mekaneyesus church
91,caravelas,BR,81.52,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
92,harwich,GB,60.01,overcast clouds,51.9419,1.2844,Premier Inn Harwich hotel
93,adrar,MR,67.51,overcast clouds,20.5022,-10.0711,
95,oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
96,codrington,AU,60.58,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
100,pacific grove,US,66.58,clear sky,36.6177,-121.9166,Lovers Point Inn
105,kieta,PG,79.12,light rain,-6.2167,155.6333,Uruna Bay Retreat
106,bandarbeyla,SO,74.55,scattered clouds,9.4942,50.8122,JABIR HOTEL
107,bredasdorp,ZA,61.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
113,maragogi,BR,82.45,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
114,alofi,NU,78.69,clear sky,-19.0595,-169.9187,Taloa Heights
119,vila do maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
125,buala,SB,79.09,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
126,pangai,TO,77.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
128,taltal,CL,72.03,few clouds,-25.4,-70.4833,Residencial Karime
131,isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
132,bambous virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
133,varkkallai,IN,78.58,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
136,chunian,PK,54.48,clear sky,30.964,73.9803,Mitho Teeqia Wala
141,lompoc,US,69.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
143,cayenne,GF,79.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
144,burnie,AU,57.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
145,lakes entrance,AU,67.57,light rain,-37.8811,147.981,The Esplanade Resort & Spa
146,hisua,IN,55.58,clear sky,24.8333,85.4167,BANTY HOME
149,alice springs,AU,65.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
152,santana do matos,BR,88.7,broken clouds,-5.9575,-36.6556,Pousada Empório
153,atuona,PF,77.25,light rain,-9.8,-139.0333,Villa Enata
156,kawalu,ID,72.68,overcast clouds,-7.3817,108.2082,West Jontor
158,hingorja,PK,57.31,clear sky,27.2109,68.416,Lakyari House Hingorja
159,constitucion,CL,72.36,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
160,kahului,US,77.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
162,danielskuil,ZA,72.1,overcast clouds,-28.1887,23.5395,Botha'Sig Gastehuis
165,dhule,IN,73.67,clear sky,20.9,74.7833,Hotel Dwarkamai
166,mwene-ditu,CD,64.56,overcast clouds,-7.0,23.45,Hôtel Kamas
167,buritis,BR,81.59,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
168,totness,SR,78.66,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
169,bolivar,US,65.32,overcast clouds,37.6145,-93.4105,Comfort Inn Bolivar
171,fortuna,US,58.42,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
172,whitianga,NZ,66.02,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
173,sterling,US,54.34,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
175,mar del plata,AR,75.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
177,castro,BR,63.3,light rain,-24.7911,-50.0119,CHACARA BAILLY
180,hervey bay,AU,68.11,clear sky,-25.2986,152.8535,Shelly Bay Resort
181,bani walid,LY,51.89,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
183,port blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
184,george,ZA,60.35,overcast clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
185,liaqatabad,PK,60.84,smoke,31.5647,74.3029,Four Points by Sheraton Lahore
188,manokwari,ID,77.83,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
191,jalu,LY,62.55,overcast clouds,29.0331,21.5482,صاحبة الفخامة
192,talara,PE,84.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
193,mount isa,AU,73.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
194,ruteng,ID,61.86,broken clouds,-8.6136,120.4721,Hotel FX 72
195,saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
196,mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
197,kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
198,pareora,NZ,59.18,broken clouds,-44.4871,171.2132,
202,cabo san lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
204,coquimbo,CL,71.33,few clouds,-29.9533,-71.3436,Hotel San Juan
205,bara,NG,78.71,clear sky,10.3744,10.7288,
206,almeirim,BR,75.34,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
207,esperance,AU,64.24,broken clouds,-33.8667,121.9,Hospitality Esperance
208,sekoma,BW,76.77,few clouds,-24.4,23.8833,
210,carnarvon,AU,87.87,few clouds,-24.8667,113.6333,Hospitality Carnarvon
211,rawson,AR,64.0,clear sky,-43.3002,-65.1023,Hosteria Sampedro
212,ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
