City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
187,pangnirtung,66.1451,-65.7125,-31.0,broken clouds,0,0,68,75,0.0,CA
188,manokwari,-0.8667,134.0833,77.83,overcast clouds,0,0,82,100,3.56,ID
189,havoysund,70.9963,24.6622,20.28,light snow,0,0,86,98,10.67,NO
190,roald,62.5833,6.1333,37.54,few clouds,0,0,81,20,5.75,NO
191,jalu,29.0331,21.5482,62.55,overcast clouds,0,0,35,100,7.14,LY
192,talara,-4.5772,-81.2719,84.96,clear sky,0,0,51,0,18.41,PE
193,mount isa,-20.7333,139.5,73.17,few clouds,0,0,83,17,0.0,AU
194,ruteng,-8.6136,120.4721,61.86,broken clouds,0,0,93,69,0.85,ID
195,saldanha,-33.0117,17.9442,64.45,clear sky,0,0,76,0,22.86,ZA
196,mahebourg,-20.4081,57.7,79.09,scattered clouds,0,0,78,40,12.66,MU
197,kruisfontein,-34.0033,24.7314,62.89,overcast clouds,0,0,77,92,14.45,ZA
198,pareora,-44.4871,171.2132,59.18,broken clouds,0,0,90,84,9.28,NZ
199,husavik,66.0449,-17.3389,30.11,overcast clouds,0,0,80,100,9.15,IS
200,sorland,67.667,12.6934,31.86,overcast clouds,0,0,56,100,23.49,NO
201,shonguy,68.7526,33.146,14.07,fog,0,0,92,100,0.0,RU
202,cabo san lucas,22.8909,-109.9124,83.61,scattered clouds,0,0,53,40,11.99,MX
203,tasiilaq,65.6145,-37.6368,27.77,snow,0,0,93,100,29.51,GL
204,coquimbo,-29.9533,-71.3436,71.33,few clouds,0,0,60,20,14.97,CL
205,bara,10.3744,10.7288,78.71,clear sky,0,0,14,5,4.59,NG
206,almeirim,-1.5233,-52.5817,75.34,overcast clouds,0,0,89,90,2.95,BR
207,esperance,-33.8667,121.9,64.24,broken clouds,0,0,80,62,5.28,AU
208,sekoma,-24.4,23.8833,76.77,few clouds,0,0,37,16,6.76,BW
209,asau,46.4333,26.4,49.12,overcast clouds,0,0,87,100,6.17,RO
210,carnarvon,-24.8667,113.6333,87.87,few clouds,0,0,58,13,6.91,AU
211,rawson,-43.3002,-65.1023,64.0,clear sky,0,0,40,0,13.82,AR
212,ambon,-3.6954,128.1814,75.34,scattered clouds,0,0,94,40,6.91,ID
213,diffa,13.3154,12.6113,78.24,clear sky,0,0,12,5,6.06,NE
214,ajaccio,42.0,8.9167,50.49,broken clouds,0,0,93,75,3.44,FR
215,anadyr,64.75,177.4833,-25.01,clear sky,0,0,74,0,11.18,RU
216,dunedin,-45.8742,170.5036,58.8,clear sky,0,0,66,6,8.99,NZ
217,williston,48.147,-103.618,16.92,broken clouds,0,0,57,71,7.0,US
218,atherton,53.5237,-2.4935,52.92,light rain,0,0,78,45,17.0,GB
219,amapa,1.0,-52.0,79.12,scattered clouds,0,0,83,42,2.06,BR
220,praya,14.9215,-23.5087,73.94,broken clouds,0,0,68,75,21.85,CV
221,haines junction,60.7522,-137.5108,12.15,overcast clouds,0,0,92,100,2.3,CA
222,butaritari,3.0707,172.7902,81.28,light rain,0,0,78,73,24.47,KI
223,moree,-29.4667,149.85,68.02,few clouds,0,0,73,23,11.5,AU
224,san carlos del zulia,9.0,-71.9135,88.48,overcast clouds,0,0,47,99,5.88,VE
225,hamilton,39.1834,-84.5333,65.03,overcast clouds,0,0,62,100,7.0,US
226,bouna,9.2667,-3.0,83.98,clear sky,0,0,13,2,1.25,CI
227,salamanca,40.8333,-6.0,49.78,overcast clouds,0,0,89,89,8.81,ES
228,bengkulu,-3.8004,102.2655,74.82,heavy intensity rain,0,0,87,99,5.17,ID
229,vila velha,-20.3297,-40.2925,78.94,broken clouds,0,0,78,75,11.01,BR
230,cockburn town,21.4612,-71.1419,80.56,scattered clouds,0,0,69,40,11.5,TC
231,aksha,50.2814,113.2867,-10.7,overcast clouds,0,0,97,100,2.53,RU
232,malinovoye ozero,51.6753,79.7825,-0.17,overcast clouds,0,0,96,100,6.91,RU
233,faanui,-16.4833,-151.75,80.82,light rain,0,0,74,97,14.56,PF
234,iqaluit,63.7506,-68.5145,-22.27,broken clouds,0,0,67,75,3.44,CA
235,le vauclin,14.5452,-60.8388,82.53,broken clouds,0,0,65,75,17.27,MQ
236,lenzing,47.9681,13.6231,46.89,overcast clouds,0,0,71,100,7.7,AT
237,lavrentiya,65.5833,-171.0,-17.01,clear sky,0,0,95,8,8.05,RU
238,vardo,70.3705,31.1107,30.18,broken clouds,0,0,80,75,12.66,NO
239,honiara,-9.4333,159.95,77.52,overcast clouds,0,0,86,100,2.89,SB
240,ponta do sol,32.6667,-17.1,62.01,few clouds,0,0,70,17,7.38,PT
241,labuhan,-6.8844,112.2051,77.0,broken clouds,0,0,90,67,6.62,ID
242,gamba,-2.65,10.0,79.29,overcast clouds,0,0,84,100,3.44,GA
243,tuatapere,-46.1333,167.6833,53.82,clear sky,0,0,75,4,4.74,NZ
244,ust-omchug,61.15,149.6333,-24.47,overcast clouds,0,0,100,95,5.32,RU
245,roebourne,-20.7833,117.1333,87.4,scattered clouds,0,0,62,45,6.82,AU
246,okato,-39.2,173.8833,64.9,clear sky,0,0,80,6,5.12,NZ
247,inverell,-29.7833,151.1167,56.66,broken clouds,0,0,95,60,3.18,AU
